MAIN: rcv event, t=29.386, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=29.520, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=29.526, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=29.775, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=30.253, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=30.601, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=31.060, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=31.139, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=31.509, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=32.109, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=32.135, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=32.195, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=32.478, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=32.610, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=32.731, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=33.214, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=33.314, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=33.900, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=34.123, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=34.232, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=34.237, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=34.408, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=34.781, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=35.070, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=35.572, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=36.016, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=36.147, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=36.487, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=36.588, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=36.861, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=37.430, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=37.559, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=37.629, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=38.085, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=38.144, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=38.175, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=38.207, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=38.310, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=38.522, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=39.036, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=39.265, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=39.373, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=39.426, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=39.564, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=39.606, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=39.737, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=39.993, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=40.101, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=40.193, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=40.552, at 3 src: 0, dest: 3, contents:   4   1   3   7
MAIN: rcv event, t=40.634, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=41.428, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=41.453, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=41.890, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=41.897, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=42.158, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=42.475, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=43.128, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=43.200, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=43.326, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=43.722, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=43.742, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=43.771, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=43.819, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=44.371, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=44.391, at 2 src: 0, dest: 2, contents:   2   1   3   7
MAIN: rcv event, t=44.682, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=45.247, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=45.486, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=45.736, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=45.812, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=46.039, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=46.184, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=46.345, at 0 src: 2, dest: 0, contents:   1   1   0   2
MAIN: rcv event, t=46.726, at 1 src: 0, dest: 1, contents:   4   1   3   7
MAIN: rcv event, t=47.030, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=47.587, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=47.996, at 0 src: 3, dest: 0, contents:   4 999   3   0
